69	313600036
117	311400063
55	376500010
159	537600015
168	241700039
88	730700024
164	154300171
126	3400044
31	774800580
148	372300160
47	642100049
1	73100215
12	537500042
31	774800514
117	311400101
151	759400012
90	649500010
6	185400005
102	674700018
48	552100075
155	440000309
51	458000013
117	311400019
201	760200101
58	675100132
14	318700198
201	760200102
38	290200099
34	645900158
62	706300058
133	291500137
42	686100082
97	116200140
140	435000058
31	774800513
155	440000190
4	327700033
155	440000030
144	362100185
34	645900122
129	258300190
31	774800128
31	774800060
124	278400023
18	503400023
65	314000075
14	318700233
59	200500073
93	619200103
30	758000168
103	58800305
89	144500066
155	440000330
126	3400147
116	361200031
118	371900010
151	759400004
62	706300009
153	107300041
54	711200075
42	686100012
128	158800037
120	271800260
84	691000104
1	73100301
128	158800012
25	303700124
4	327700068
103	58800377
14	318700061
152	690300191
60	120600125
90	649500019
148	372300081
102	674700013
35	525400076
153	107300017
36	300000040
22	660500038
16	379100398
29	20700123
40	640800171
111	649300195
8	371100052
120	271800043
163	12200019
47	642100070
75	729300123
155	440000200
155	440000199
159	537600008
110	664600014
140	435000025
28	130500106
31	774800069
152	690300019
30	758000161
32	453900053
89	144500069
18	503400072
118	371900019
87	550700025
133	291500426
32	453900071
62	706300006
197	778000163
14	318700137
128	158800084
11	436000100
145	438100102
167	344900015
49	234400026
119	128100609
0	525200040
69	313600118
33	599300056
136	459100045
151	759400037
105	547400144
1	73100308
37	692900056
4	327700061
119	128100370
37	692900063
1	73100040
169	76400054
47	642100195
36	300000049
18	503400107
22	660500031
77	675000024
97	116200084
16	379100393
17	452900064
65	314000041
193	672800002
58	675100131
183	113100056
33	599300068
177	235700001
173	196500006
192	152100012
164	154300070
107	497400053
183	113100124
130	753700142
133	291500442
48	552100152
117	311400191
16	379100085
3	356300052
156	675300018
103	58800086
119	128100356
142	270400001
133	291500312
148	372300005
117	311400089
133	291500327
107	497400189
79	111100092
100	451300031
56	290900038
155	440000211
155	440000335
107	497400147
28	130500229
183	113100143
38	290200043
58	675100055
184	742700023
16	379100406
40	640800318
14	318700326
3	356300076
93	619200139
147	113500037
0	525200087
1	73100049
103	58800092
189	33900061
14	318700064
48	552100023
70	20100085
18	503400005
47	642100136
32	453900004
65	314000048
151	759400022
194	119400009
177	235700008
14	318700211
40	640800251
1	73100284
146	612400046
68	271700045
40	640800321
138	78800072
133	291500097
102	674700036
198	4900023
81	348200153
1	73100460
168	241700016
